time,populationID,neuronID,eventType
0.01,94291922546768,0,3
0.01,94291922547472,0,2
0.01,94291922548832,0,2
0.02,94291922546768,0,3
0.02,94291922547472,0,2
0.02,94291922548832,0,2
0.03,94291922546768,0,3
0.03,94291922547472,0,2
0.03,94291922548832,0,2
0.04,94291922546768,0,3
0.04,94291922547472,0,2
0.04,94291922548832,0,2
0.05,94291922546768,0,3
0.05,94291922547472,0,2
0.05,94291922548832,0,2
0.06,94291922546768,0,3
0.06,94291922547472,0,2
0.06,94291922548832,0,2
0.07,94291922546768,0,3
0.07,94291922547472,0,2
0.07,94291922548832,0,2
0.08,94291922546768,0,3
0.08,94291922547472,0,2
0.08,94291922548832,0,2
0.09,94291922546768,0,3
0.09,94291922547472,0,2
0.09,94291922548832,0,2
0.1,94291922546768,0,3
0.1,94291922547472,0,2
0.1,94291922548832,0,2
0.11,94291922546768,0,3
0.11,94291922547472,0,2
0.11,94291922548832,0,2
0.12,94291922546768,0,3
0.12,94291922547472,0,2
0.12,94291922548832,0,2
0.13,94291922546768,0,3
0.13,94291922547472,0,2
0.13,94291922548832,0,2
0.14,94291922546768,0,3
0.14,94291922547472,0,2
0.14,94291922548832,0,2
0.15,94291922546768,0,3
0.15,94291922547472,0,2
0.15,94291922548832,0,2
0.16,94291922546768,0,3
0.16,94291922547472,0,2
0.16,94291922548832,0,2
0.17,94291922546768,0,3
0.17,94291922547472,0,2
0.17,94291922548832,0,2
0.18,94291922546768,0,3
0.18,94291922547472,0,2
0.18,94291922548832,0,0
0.19,94291922546768,0,3
0.19,94291922547472,0,0
0.19,94291922548832,0,0
0.2,94291922546768,0,3
0.2,94291922547472,0,0
0.2,94291922548832,0,0
0.21,94291922546768,0,3
0.21,94291922547472,0,0
0.21,94291922548832,0,0
0.22,94291922546768,0,3
0.22,94291922547472,0,0
0.22,94291922548832,0,0
0.23,94291922546768,0,3
0.23,94291922547472,0,0
0.23,94291922548832,0,2
0.24,94291922546768,0,3
0.24,94291922547472,0,2
0.24,94291922548832,0,2
0.25,94291922546768,0,3
0.25,94291922547472,0,2
0.25,94291922548832,0,2
0.26,94291922546768,0,3
0.26,94291922547472,0,2
0.26,94291922548832,0,2
0.27,94291922546768,0,3
0.27,94291922547472,0,2
0.27,94291922548832,0,2
0.28,94291922546768,0,3
0.28,94291922547472,0,2
0.28,94291922548832,0,2
0.29,94291922546768,0,3
0.29,94291922547472,0,2
0.29,94291922548832,0,0
0.3,94291922546768,0,3
0.3,94291922547472,0,0
0.3,94291922548832,0,2
0.31,94291922546768,0,3
0.31,94291922547472,0,2
0.31,94291922548832,0,2
0.32,94291922546768,0,3
0.32,94291922547472,0,2
0.32,94291922548832,0,2
0.33,94291922546768,0,3
0.33,94291922547472,0,2
0.33,94291922548832,0,2
0.34,94291922546768,0,3
0.34,94291922547472,0,2
0.34,94291922548832,0,0
0.35,94291922546768,0,3
0.35,94291922547472,0,0
0.35,94291922548832,0,0
0.36,94291922546768,0,3
0.36,94291922547472,0,0
0.36,94291922548832,0,0
0.37,94291922546768,0,3
0.37,94291922547472,0,0
0.37,94291922548832,0,0
0.38,94291922546768,0,3
0.38,94291922547472,0,0
0.38,94291922548832,0,0
0.39,94291922546768,0,3
0.39,94291922547472,0,0
0.39,94291922548832,0,2
0.4,94291922546768,0,3
0.4,94291922547472,0,2
0.4,94291922548832,0,2
0.41,94291922546768,0,3
0.41,94291922547472,0,2
0.41,94291922548832,0,2
0.42,94291922546768,0,3
0.42,94291922547472,0,2
0.42,94291922548832,0,2
0.43,94291922546768,0,3
0.43,94291922547472,0,2
0.43,94291922548832,0,2
0.44,94291922546768,0,3
0.44,94291922547472,0,2
0.44,94291922548832,0,2
0.45,94291922546768,0,3
0.45,94291922547472,0,2
0.45,94291922548832,0,0
0.46,94291922546768,0,3
0.46,94291922547472,0,0
0.46,94291922548832,0,0
0.47,94291922546768,0,3
0.47,94291922547472,0,0
0.47,94291922548832,0,2
0.48,94291922546768,0,3
0.48,94291922547472,0,2
0.48,94291922548832,0,2
0.49,94291922546768,0,3
0.49,94291922547472,0,2
0.49,94291922548832,0,2
0.5,94291922546768,0,3
0.5,94291922547472,0,2
0.5,94291922548832,0,2
0.51,94291922546768,0,3
0.51,94291922547472,0,2
0.51,94291922548832,0,2
0.52,94291922546768,0,3
0.52,94291922547472,0,2
0.52,94291922548832,0,0
0.53,94291922546768,0,3
0.53,94291922547472,0,0
0.53,94291922548832,0,2
0.54,94291922546768,0,3
0.54,94291922547472,0,2
0.54,94291922548832,0,2
0.55,94291922546768,0,3
0.55,94291922547472,0,2
0.55,94291922548832,0,0
0.56,94291922546768,0,3
0.56,94291922547472,0,0
0.56,94291922548832,0,0
0.57,94291922546768,0,3
0.57,94291922547472,0,0
0.57,94291922548832,0,0
0.58,94291922546768,0,3
0.58,94291922547472,0,0
0.58,94291922548832,0,0
0.59,94291922546768,0,3
0.59,94291922547472,0,0
0.59,94291922548832,0,2
0.6,94291922546768,0,3
0.6,94291922547472,0,2
0.6,94291922548832,0,2
0.61,94291922546768,0,3
0.61,94291922547472,0,2
0.61,94291922548832,0,2
0.62,94291922546768,0,3
0.62,94291922547472,0,2
0.62,94291922548832,0,2
0.63,94291922546768,0,3
0.63,94291922547472,0,2
0.63,94291922548832,0,0
0.64,94291922546768,0,3
0.64,94291922547472,0,0
0.64,94291922548832,0,2
0.65,94291922546768,0,3
0.65,94291922547472,0,2
0.65,94291922548832,0,2
0.66,94291922546768,0,3
0.66,94291922547472,0,2
0.66,94291922548832,0,0
0.67,94291922546768,0,3
0.67,94291922547472,0,0
0.67,94291922548832,0,2
0.68,94291922546768,0,3
0.68,94291922547472,0,2
0.68,94291922548832,0,2
0.69,94291922546768,0,3
0.69,94291922547472,0,2
0.69,94291922548832,0,2
0.7,94291922546768,0,3
0.7,94291922547472,0,2
0.7,94291922548832,0,0
0.71,94291922546768,0,3
0.71,94291922547472,0,0
0.71,94291922548832,0,2
0.72,94291922546768,0,3
0.72,94291922547472,0,2
0.72,94291922548832,0,2
0.73,94291922546768,0,3
0.73,94291922547472,0,2
0.73,94291922548832,0,2
0.74,94291922546768,0,3
0.74,94291922547472,0,2
0.74,94291922548832,0,2
0.75,94291922546768,0,3
0.75,94291922547472,0,2
0.75,94291922548832,0,0
0.76,94291922546768,0,3
0.76,94291922547472,0,0
0.76,94291922548832,0,0
0.77,94291922546768,0,3
0.77,94291922547472,0,0
0.77,94291922548832,0,0
0.78,94291922546768,0,3
0.78,94291922547472,0,0
0.78,94291922548832,0,0
0.79,94291922546768,0,3
0.79,94291922547472,0,0
0.79,94291922548832,0,2
0.8,94291922546768,0,3
0.8,94291922547472,0,2
0.8,94291922548832,0,2
0.81,94291922546768,0,3
0.81,94291922547472,0,2
0.81,94291922548832,0,0
0.82,94291922546768,0,3
0.82,94291922547472,0,0
0.82,94291922548832,0,2
0.83,94291922546768,0,3
0.83,94291922547472,0,2
0.83,94291922548832,0,2
0.84,94291922546768,0,3
0.84,94291922547472,0,2
0.84,94291922548832,0,2
0.85,94291922546768,0,3
0.85,94291922547472,0,2
0.85,94291922548832,0,2
0.86,94291922546768,0,3
0.86,94291922547472,0,2
0.86,94291922548832,0,0
0.87,94291922546768,0,3
0.87,94291922547472,0,0
0.87,94291922548832,0,2
0.88,94291922546768,0,3
0.88,94291922547472,0,2
0.88,94291922548832,0,2
0.89,94291922546768,0,3
0.89,94291922547472,0,2
0.89,94291922548832,0,0
0.9,94291922546768,0,3
0.9,94291922547472,0,0
0.9,94291922548832,0,2
0.91,94291922546768,0,3
0.91,94291922547472,0,2
0.91,94291922548832,0,2
0.92,94291922546768,0,3
0.92,94291922547472,0,2
0.92,94291922548832,0,2
0.93,94291922546768,0,3
0.93,94291922547472,0,2
0.93,94291922548832,0,2
0.94,94291922546768,0,3
0.94,94291922547472,0,2
0.94,94291922548832,0,0
0.95,94291922546768,0,3
0.95,94291922547472,0,0
0.95,94291922548832,0,2
0.96,94291922546768,0,3
0.96,94291922547472,0,2
0.96,94291922548832,0,0
0.97,94291922546768,0,3
0.97,94291922547472,0,0
0.97,94291922548832,0,0
0.98,94291922546768,0,3
0.98,94291922547472,0,0
0.98,94291922548832,0,0
0.99,94291922546768,0,3
0.99,94291922547472,0,0
0.99,94291922548832,0,0
1,94291922546768,0,3
1,94291922547472,0,0
1,94291922548832,0,2
