time,populationID,neuronID,valueType,value
0.001,999,0,3,0.51413
0.001,94651192721968,0,3,0
0.001,94651192725616,0,3,0
0.002,999,0,3,0.528219
0.002,94651192721968,0,3,0
0.002,94651192725616,0,3,0
0.003,999,0,3,0.542223
0.003,94651192721968,0,3,0
0.003,94651192725616,0,3,0
0.004,999,0,3,0.556103
0.004,94651192721968,0,3,0
0.004,94651192725616,0,3,0
0.005,999,0,3,0.569818
0.005,94651192721968,0,3,0
0.005,94651192725616,0,3,0
0.006,999,0,3,0.583326
0.006,94651192721968,0,3,0
0.006,94651192725616,0,3,0
0.007,999,0,3,0.596588
0.007,94651192721968,0,3,0
0.007,94651192725616,0,3,0
0.008,999,0,3,0.609567
0.008,94651192721968,0,3,0
0.008,94651192725616,0,3,0
0.009,999,0,3,0.622223
0.009,94651192721968,0,3,0
0.009,94651192725616,0,3,0
0.01,999,0,3,0.63452
0.01,94651192721968,0,3,0
0.01,94651192725616,0,3,0
0.011,999,0,3,0.646424
0.011,94651192721968,0,3,0
0.011,94651192725616,0,3,0
0.012,999,0,3,0.657901
0.012,94651192721968,0,3,0
0.012,94651192725616,0,3,0
0.013,999,0,3,0.668917
0.013,94651192721968,0,3,0
0.013,94651192725616,0,3,0
0.014,999,0,3,0.679444
0.014,94651192721968,0,3,0
0.014,94651192725616,0,3,0
0.015,999,0,3,0.689451
0.015,94651192721968,0,3,0
0.015,94651192725616,0,3,0
0.016,999,0,3,0.698912
0.016,94651192721968,0,3,0
0.016,94651192725616,0,3,0
0.017,999,0,3,0.707802
0.017,94651192721968,0,3,0
0.017,94651192725616,0,3,0
0.018,999,0,3,0.716098
0.018,94651192721968,0,3,0
0.018,94651192725616,0,3,0
0.019,999,0,3,0.723779
0.019,94651192721968,0,3,0
0.019,94651192725616,0,3,0.00796
0.02,999,0,3,0.730826
0.02,94651192721968,0,3,0.000796
0.02,94651192725616,0,3,0.0181601
0.021,999,0,3,0.737224
0.021,94651192721968,0,3,0.00181601
0.021,94651192725616,0,3,0.0348614
0.022,999,0,3,0.742957
0.022,94651192721968,0,3,0.00348613
0.022,94651192725616,0,3,0.0616885
0.023,999,0,3,0.748014
0.023,94651192721968,0,3,0.00616877
0.023,94651192725616,0,3,0.101275
0.024,999,0,3,0.752386
0.024,94651192721968,0,3,0.0101271
0.024,94651192725616,0,3,0.155005
0.025,999,0,3,0.756066
0.025,94651192721968,0,3,0.0154992
0.025,94651192725616,0,3,0.222879
0.026,999,0,3,0.759049
0.026,94651192721968,0,3,0.0222842
0.026,94651192725616,0,3,0.295551
0.027,999,0,3,0.761334
0.027,94651192721968,0,3,0.0295465
0.027,94651192725616,0,3,0.37611
0.028,999,0,3,0.76292
0.028,94651192721968,0,3,0.0375933
0.028,94651192725616,0,3,0.456669
0.029,999,0,3,0.763811
0.029,94651192721968,0,3,0.0456351
0.029,94651192725616,0,3,0.537301
0.03,999,0,3,0.764011
0.03,94651192721968,0,3,0.0536785
0.03,94651192725616,0,3,0.597215
0.031,999,0,3,0.763529
0.031,94651192721968,0,3,0.0596506
0.031,94651192725616,0,3,0.648705
0.032,999,0,3,0.762373
0.032,94651192721968,0,3,0.0647797
0.032,94651192725616,0,3,0.68179
0.033,999,0,3,0.760557
0.033,94651192721968,0,3,0.0680736
0.033,94651192725616,0,3,0.698491
0.034,999,0,3,0.758095
0.034,94651192721968,0,3,0.0697358
0.034,94651192725616,0,3,0.702434
0.035,999,0,3,0.755004
0.035,94651192721968,0,3,0.0701281
0.035,94651192725616,0,3,0.69849
0.036,999,0,3,0.751301
0.036,94651192721968,0,3,0.0697356
0.036,94651192725616,0,3,0.692306
0.037,999,0,3,0.747008
0.037,94651192721968,0,3,0.0691202
0.037,94651192725616,0,3,0.689747
0.038,999,0,3,0.742149
0.038,94651192721968,0,3,0.0688655
0.038,94651192725616,0,3,0.688363
0.039,999,0,3,0.736746
0.039,94651192721968,0,3,0.0687278
0.039,94651192725616,0,3,0.698489
0.04,999,0,3,0.730826
0.04,94651192721968,0,3,0.0697355
0.04,94651192725616,0,3,0.716893
0.041,999,0,3,0.724418
0.041,94651192721968,0,3,0.0715668
0.041,94651192725616,0,3,0.731575
0.042,999,0,3,0.717551
0.042,94651192721968,0,3,0.0730273
0.042,94651192725616,0,3,0.753998
0.043,999,0,3,0.710254
0.043,94651192721968,0,3,0.0752572
0.043,94651192725616,0,3,0.771766
0.044,999,0,3,0.702562
0.044,94651192721968,0,3,0.0770237
0.044,94651192725616,0,3,0.783141
0.045,999,0,3,0.694506
0.045,94651192721968,0,3,0.0781544
0.045,94651192725616,0,3,0.787009
0.046,999,0,3,0.686121
0.046,94651192721968,0,3,0.0785388
0.046,94651192725616,0,3,0.782991
0.047,999,0,3,0.677441
0.047,94651192721968,0,3,0.0781394
0.047,94651192725616,0,3,0.781681
0.048,999,0,3,0.668504
0.048,94651192721968,0,3,0.0780092
0.048,94651192725616,0,3,0.772546
0.049,999,0,3,0.659345
0.049,94651192721968,0,3,0.0771013
0.049,94651192725616,0,3,0.774641
0.05,999,0,3,0.65
0.05,94651192721968,0,3,0.0773095
0.05,94651192725616,0,3,0.76466
0.051,999,0,3,0.640507
0.051,94651192721968,0,3,0.0763173
0.051,94651192725616,0,3,0.774641
0.052,999,0,3,0.630904
0.052,94651192721968,0,3,0.0773095
0.052,94651192725616,0,3,0.772546
0.053,999,0,3,0.621227
0.053,94651192721968,0,3,0.0771013
0.053,94651192725616,0,3,0.77944
0.054,999,0,3,0.611514
0.054,94651192721968,0,3,0.0777866
0.054,94651192725616,0,3,0.784449
0.055,999,0,3,0.601801
0.055,94651192721968,0,3,0.0782844
0.055,94651192725616,0,3,0.787083
0.056,999,0,3,0.592124
0.056,94651192721968,0,3,0.0785462
0.056,94651192725616,0,3,0.787083
0.057,999,0,3,0.582521
0.057,94651192721968,0,3,0.0785462
0.057,94651192725616,0,3,0.776489
0.058,999,0,3,0.573024
0.058,94651192721968,0,3,0.0774933
0.058,94651192725616,0,3,0.76924
0.059,999,0,3,0.56367
0.059,94651192721968,0,3,0.0767727
0.059,94651192725616,0,3,0.758085
0.06,999,0,3,0.554491
0.06,94651192721968,0,3,0.0756636
0.06,94651192725616,0,3,0.754315
0.061,999,0,3,0.545519
0.061,94651192721968,0,3,0.0752888
0.061,94651192725616,0,3,0.74316
0.062,999,0,3,0.536784
0.062,94651192721968,0,3,0.0741795
0.062,94651192725616,0,3,0.735911
0.063,999,0,3,0.528318
0.063,94651192721968,0,3,0.0734585
0.063,94651192725616,0,3,0.725317
0.064,999,0,3,0.520147
0.064,94651192721968,0,3,0.0724048
0.064,94651192725616,0,3,0.723077
0.065,999,0,3,0.512298
0.065,94651192721968,0,3,0.0721819
0.065,94651192725616,0,3,0.719209
0.066,999,0,3,0.504797
0.066,94651192721968,0,3,0.0717972
0.066,94651192725616,0,3,0.714093
0.067,999,0,3,0.497665
0.067,94651192721968,0,3,0.0712881
0.067,94651192725616,0,3,0.700268
0.068,999,0,3,0.490925
0.068,94651192721968,0,3,0.0699125
0.068,94651192725616,0,3,0.691989
0.069,999,0,3,0.484596
0.069,94651192721968,0,3,0.0690886
0.069,94651192725616,0,3,0.682106
0.07,999,0,3,0.478694
0.07,94651192721968,0,3,0.068105
0.07,94651192725616,0,3,0.671587
0.071,999,0,3,0.473236
0.071,94651192721968,0,3,0.0670579
0.071,94651192725616,0,3,0.661461
0.072,999,0,3,0.468234
0.072,94651192721968,0,3,0.0660498
0.072,94651192725616,0,3,0.64476
0.073,999,0,3,0.463699
0.073,94651192721968,0,3,0.0643868
0.073,94651192725616,0,3,0.643979
0.074,999,0,3,0.459641
0.074,94651192721968,0,3,0.064309
0.074,94651192725616,0,3,0.636093
0.075,999,0,3,0.456066
0.075,94651192721968,0,3,0.0635237
0.075,94651192725616,0,3,0.621875
0.076,999,0,3,0.452978
0.076,94651192721968,0,3,0.0621075
0.076,94651192725616,0,3,0.615617
0.077,999,0,3,0.45038
0.077,94651192721968,0,3,0.061484
0.077,94651192725616,0,3,0.599771
0.078,999,0,3,0.448271
0.078,94651192721968,0,3,0.0599053
0.078,94651192725616,0,3,0.59899
0.079,999,0,3,0.446649
0.079,94651192721968,0,3,0.0598275
0.079,94651192725616,0,3,0.582289
0.08,999,0,3,0.445509
0.08,94651192721968,0,3,0.0581631
0.08,94651192725616,0,3,0.574403
0.081,999,0,3,0.444846
0.081,94651192721968,0,3,0.0573772
0.081,94651192725616,0,3,0.565905
0.082,999,0,3,0.44465
0.082,94651192721968,0,3,0.0565302
0.082,94651192725616,0,3,0.547426
0.083,999,0,3,0.44491
0.083,94651192721968,0,3,0.054688
0.083,94651192725616,0,3,0.543876
0.084,999,0,3,0.445614
0.084,94651192721968,0,3,0.054334
0.084,94651192725616,0,3,0.534741
0.085,999,0,3,0.446746
0.085,94651192721968,0,3,0.0534232
