time,populationID,neuronID,eventType
0.0001,94448939274320,0,3
0.0001,94448939275024,0,2
0.0001,94448939276384,0,2
0.0002,94448939274320,0,3
0.0002,94448939275024,0,2
0.0002,94448939276384,0,2
0.0003,94448939274320,0,3
0.0003,94448939275024,0,2
0.0003,94448939276384,0,2
0.0004,94448939274320,0,3
0.0004,94448939275024,0,2
0.0004,94448939276384,0,2
0.0005,94448939274320,0,3
0.0005,94448939275024,0,2
0.0005,94448939276384,0,2
0.0006,94448939274320,0,3
0.0006,94448939275024,0,2
0.0006,94448939276384,0,2
0.0007,94448939274320,0,3
0.0007,94448939275024,0,2
0.0007,94448939276384,0,2
0.0008,94448939274320,0,3
0.0008,94448939275024,0,2
0.0008,94448939276384,0,2
0.0009,94448939274320,0,3
0.0009,94448939275024,0,2
0.0009,94448939276384,0,2
0.001,94448939274320,0,3
0.001,94448939275024,0,2
0.001,94448939276384,0,2
0.0011,94448939274320,0,3
0.0011,94448939275024,0,2
0.0011,94448939276384,0,2
0.0012,94448939274320,0,3
0.0012,94448939275024,0,2
0.0012,94448939276384,0,2
0.0013,94448939274320,0,3
0.0013,94448939275024,0,2
0.0013,94448939276384,0,2
0.0014,94448939274320,0,3
0.0014,94448939275024,0,2
0.0014,94448939276384,0,2
0.0015,94448939274320,0,3
0.0015,94448939275024,0,2
0.0015,94448939276384,0,2
0.0016,94448939274320,0,3
0.0016,94448939275024,0,2
0.0016,94448939276384,0,2
0.0017,94448939274320,0,3
0.0017,94448939275024,0,2
0.0017,94448939276384,0,2
0.0018,94448939274320,0,3
0.0018,94448939275024,0,2
0.0018,94448939276384,0,0
0.0019,94448939274320,0,3
0.0019,94448939275024,0,0
0.0019,94448939276384,0,0
0.002,94448939274320,0,3
0.002,94448939275024,0,0
0.002,94448939276384,0,0
0.0021,94448939274320,0,3
0.0021,94448939275024,0,0
0.0021,94448939276384,0,0
0.0022,94448939274320,0,3
0.0022,94448939275024,0,0
0.0022,94448939276384,0,0
0.0023,94448939274320,0,3
0.0023,94448939275024,0,0
0.0023,94448939276384,0,2
0.0024,94448939274320,0,3
0.0024,94448939275024,0,2
0.0024,94448939276384,0,2
0.0025,94448939274320,0,3
0.0025,94448939275024,0,2
0.0025,94448939276384,0,2
0.0026,94448939274320,0,3
0.0026,94448939275024,0,2
0.0026,94448939276384,0,0
0.0027,94448939274320,0,3
0.0027,94448939275024,0,0
0.0027,94448939276384,0,2
0.0028,94448939274320,0,3
0.0028,94448939275024,0,2
0.0028,94448939276384,0,2
0.0029,94448939274320,0,3
0.0029,94448939275024,0,2
0.0029,94448939276384,0,2
0.003,94448939274320,0,3
0.003,94448939275024,0,2
0.003,94448939276384,0,0
0.0031,94448939274320,0,3
0.0031,94448939275024,0,0
0.0031,94448939276384,0,0
0.0032,94448939274320,0,3
0.0032,94448939275024,0,0
0.0032,94448939276384,0,0
0.0033,94448939274320,0,3
0.0033,94448939275024,0,0
0.0033,94448939276384,0,0
0.0034,94448939274320,0,3
0.0034,94448939275024,0,0
0.0034,94448939276384,0,2
0.0035,94448939274320,0,3
0.0035,94448939275024,0,2
0.0035,94448939276384,0,0
0.0036,94448939274320,0,3
0.0036,94448939275024,0,0
0.0036,94448939276384,0,2
0.0037,94448939274320,0,3
0.0037,94448939275024,0,2
0.0037,94448939276384,0,2
0.0038,94448939274320,0,3
0.0038,94448939275024,0,2
0.0038,94448939276384,0,2
0.0039,94448939274320,0,3
0.0039,94448939275024,0,2
0.0039,94448939276384,0,2
0.004,94448939274320,0,3
0.004,94448939275024,0,2
0.004,94448939276384,0,0
0.0041,94448939274320,0,3
0.0041,94448939275024,0,0
0.0041,94448939276384,0,0
0.0042,94448939274320,0,3
0.0042,94448939275024,0,0
0.0042,94448939276384,0,0
0.0043,94448939274320,0,3
0.0043,94448939275024,0,0
0.0043,94448939276384,0,2
0.0044,94448939274320,0,3
0.0044,94448939275024,0,2
0.0044,94448939276384,0,0
0.0045,94448939274320,0,3
0.0045,94448939275024,0,0
0.0045,94448939276384,0,0
0.0046,94448939274320,0,3
0.0046,94448939275024,0,0
0.0046,94448939276384,0,2
0.0047,94448939274320,0,3
0.0047,94448939275024,0,2
0.0047,94448939276384,0,2
0.0048,94448939274320,0,3
0.0048,94448939275024,0,2
0.0048,94448939276384,0,2
0.0049,94448939274320,0,3
0.0049,94448939275024,0,2
0.0049,94448939276384,0,0
0.005,94448939274320,0,3
0.005,94448939275024,0,0
0.005,94448939276384,0,2
0.0051,94448939274320,0,3
0.0051,94448939275024,0,2
0.0051,94448939276384,0,0
0.0052,94448939274320,0,3
0.0052,94448939275024,0,0
0.0052,94448939276384,0,0
0.0053,94448939274320,0,3
0.0053,94448939275024,0,0
0.0053,94448939276384,0,2
0.0054,94448939274320,0,3
0.0054,94448939275024,0,2
0.0054,94448939276384,0,0
0.0055,94448939274320,0,3
0.0055,94448939275024,0,0
0.0055,94448939276384,0,2
0.0056,94448939274320,0,3
0.0056,94448939275024,0,2
0.0056,94448939276384,0,0
0.0057,94448939274320,0,3
0.0057,94448939275024,0,0
0.0057,94448939276384,0,2
0.0058,94448939274320,0,3
0.0058,94448939275024,0,2
0.0058,94448939276384,0,0
0.0059,94448939274320,0,3
0.0059,94448939275024,0,0
0.0059,94448939276384,0,2
0.006,94448939274320,0,3
0.006,94448939275024,0,2
0.006,94448939276384,0,0
0.0061,94448939274320,0,3
0.0061,94448939275024,0,0
0.0061,94448939276384,0,2
0.0062,94448939274320,0,3
0.0062,94448939275024,0,2
0.0062,94448939276384,0,2
0.0063,94448939274320,0,3
0.0063,94448939275024,0,2
0.0063,94448939276384,0,0
0.0064,94448939274320,0,3
0.0064,94448939275024,0,0
0.0064,94448939276384,0,0
0.0065,94448939274320,0,3
0.0065,94448939275024,0,0
0.0065,94448939276384,0,0
0.0066,94448939274320,0,3
0.0066,94448939275024,0,0
0.0066,94448939276384,0,2
0.0067,94448939274320,0,3
0.0067,94448939275024,0,2
0.0067,94448939276384,0,2
0.0068,94448939274320,0,3
0.0068,94448939275024,0,2
0.0068,94448939276384,0,0
0.0069,94448939274320,0,3
0.0069,94448939275024,0,0
0.0069,94448939276384,0,2
0.007,94448939274320,0,3
0.007,94448939275024,0,2
0.007,94448939276384,0,0
0.0071,94448939274320,0,3
0.0071,94448939275024,0,0
0.0071,94448939276384,0,0
0.0072,94448939274320,0,3
0.0072,94448939275024,0,0
0.0072,94448939276384,0,2
0.0073,94448939274320,0,3
0.0073,94448939275024,0,2
0.0073,94448939276384,0,2
0.0074,94448939274320,0,3
0.0074,94448939275024,0,2
0.0074,94448939276384,0,0
0.0075,94448939274320,0,3
0.0075,94448939275024,0,0
0.0075,94448939276384,0,0
0.0076,94448939274320,0,3
0.0076,94448939275024,0,0
0.0076,94448939276384,0,2
0.0077,94448939274320,0,3
0.0077,94448939275024,0,2
0.0077,94448939276384,0,0
0.0078,94448939274320,0,3
0.0078,94448939275024,0,0
0.0078,94448939276384,0,2
0.0079,94448939274320,0,3
0.0079,94448939275024,0,2
0.0079,94448939276384,0,0
0.008,94448939274320,0,3
0.008,94448939275024,0,0
0.008,94448939276384,0,2
0.0081,94448939274320,0,3
0.0081,94448939275024,0,2
0.0081,94448939276384,0,0
0.0082,94448939274320,0,3
0.0082,94448939275024,0,0
0.0082,94448939276384,0,2
0.0083,94448939274320,0,3
0.0083,94448939275024,0,2
0.0083,94448939276384,0,0
0.0084,94448939274320,0,3
0.0084,94448939275024,0,0
0.0084,94448939276384,0,2
0.0085,94448939274320,0,3
0.0085,94448939275024,0,2
0.0085,94448939276384,0,0
0.0086,94448939274320,0,3
0.0086,94448939275024,0,0
0.0086,94448939276384,0,0
