time,populationID,neuronID,eventType
0.001,94575147126784,0,2
0.002,94575147126784,0,2
0.003,94575147126784,0,2
0.004,94575147126784,0,2
0.005,94575147126784,0,2
0.006,94575147126784,0,2
0.007,94575147126784,0,2
0.008,94575147126784,0,2
0.009,94575147126784,0,2
0.01,94575147126784,0,2
0.011,94575147126784,0,2
0.012,94575147126784,0,2
0.013,94575147126784,0,2
0.014,94575147126784,0,2
0.015,94575147126784,0,2
0.016,94575147126784,0,2
0.017,94575147126784,0,2
0.018,94575147126784,0,2
0.019,94575147126784,0,2
0.02,94575147126784,0,2
0.021,94575147126784,0,2
0.022,94575147126784,0,2
0.023,94575147126784,0,2
0.024,94575147126784,0,2
0.025,94575147126784,0,2
0.026,94575147126784,0,2
0.027,94575147126784,0,2
0.028,94575147126784,0,2
0.029,94575147126784,0,2
0.03,94575147126784,0,2
0.031,94575147126784,0,2
0.032,94575147126784,0,2
0.033,94575147126784,0,2
0.034,94575147126784,0,2
0.035,94575147126784,0,2
0.036,94575147126784,0,2
0.037,94575147126784,0,2
0.038,94575147126784,0,2
0.039,94575147126784,0,2
0.04,94575147126784,0,2
0.041,94575147126784,0,2
0.042,94575147126784,0,2
0.043,94575147126784,0,2
0.044,94575147126784,0,2
0.045,94575147126784,0,2
0.046,94575147126784,0,2
0.047,94575147126784,0,2
0.048,94575147126784,0,2
0.049,94575147126784,0,2
0.05,94575147126784,0,2
0.051,94575147126784,0,2
0.052,94575147126784,0,2
0.053,94575147126784,0,2
0.054,94575147126784,0,2
0.055,94575147126784,0,2
0.056,94575147126784,0,2
0.057,94575147126784,0,2
0.058,94575147126784,0,2
0.059,94575147126784,0,2
0.06,94575147126784,0,0
0.061,94575147126784,0,2
0.062,94575147126784,0,2
0.063,94575147126784,0,2
0.064,94575147126784,0,2
0.065,94575147126784,0,2
0.066,94575147126784,0,2
0.067,94575147126784,0,2
0.068,94575147126784,0,2
0.069,94575147126784,0,2
0.07,94575147126784,0,2
0.071,94575147126784,0,2
0.072,94575147126784,0,2
0.073,94575147126784,0,2
0.074,94575147126784,0,2
0.075,94575147126784,0,2
0.076,94575147126784,0,2
0.077,94575147126784,0,2
0.078,94575147126784,0,2
0.079,94575147126784,0,2
0.08,94575147126784,0,2
0.081,94575147126784,0,2
0.082,94575147126784,0,2
0.083,94575147126784,0,2
0.084,94575147126784,0,2
0.085,94575147126784,0,2
0.086,94575147126784,0,2
0.087,94575147126784,0,2
0.088,94575147126784,0,2
0.089,94575147126784,0,2
0.09,94575147126784,0,2
0.091,94575147126784,0,2
0.092,94575147126784,0,2
0.093,94575147126784,0,2
0.094,94575147126784,0,2
0.095,94575147126784,0,2
0.096,94575147126784,0,2
0.097,94575147126784,0,2
0.098,94575147126784,0,2
0.099,94575147126784,0,2
0.1,94575147126784,0,2
0.101,94575147126784,0,2
0.102,94575147126784,0,2
0.103,94575147126784,0,2
0.104,94575147126784,0,2
0.105,94575147126784,0,2
0.106,94575147126784,0,2
0.107,94575147126784,0,2
0.108,94575147126784,0,2
0.109,94575147126784,0,2
0.11,94575147126784,0,2
0.111,94575147126784,0,2
0.112,94575147126784,0,2
0.113,94575147126784,0,2
0.114,94575147126784,0,2
0.115,94575147126784,0,2
0.116,94575147126784,0,2
0.117,94575147126784,0,2
0.118,94575147126784,0,2
0.119,94575147126784,0,2
0.12,94575147126784,0,2
0.121,94575147126784,0,2
0.122,94575147126784,0,0
0.123,94575147126784,0,2
0.124,94575147126784,0,2
0.125,94575147126784,0,2
0.126,94575147126784,0,2
0.127,94575147126784,0,2
0.128,94575147126784,0,2
0.129,94575147126784,0,2
0.13,94575147126784,0,2
0.131,94575147126784,0,2
0.132,94575147126784,0,2
0.133,94575147126784,0,2
0.134,94575147126784,0,2
0.135,94575147126784,0,2
0.136,94575147126784,0,2
0.137,94575147126784,0,2
0.138,94575147126784,0,2
0.139,94575147126784,0,2
0.14,94575147126784,0,2
0.141,94575147126784,0,2
0.142,94575147126784,0,2
0.143,94575147126784,0,2
0.144,94575147126784,0,2
0.145,94575147126784,0,2
0.146,94575147126784,0,2
0.147,94575147126784,0,2
0.148,94575147126784,0,2
0.149,94575147126784,0,2
0.15,94575147126784,0,2
0.151,94575147126784,0,2
0.152,94575147126784,0,2
0.153,94575147126784,0,2
0.154,94575147126784,0,2
0.155,94575147126784,0,2
0.156,94575147126784,0,2
0.157,94575147126784,0,2
0.158,94575147126784,0,2
0.159,94575147126784,0,2
0.16,94575147126784,0,2
0.161,94575147126784,0,2
0.162,94575147126784,0,2
0.163,94575147126784,0,2
0.164,94575147126784,0,2
0.165,94575147126784,0,2
0.166,94575147126784,0,2
0.167,94575147126784,0,2
0.168,94575147126784,0,2
0.169,94575147126784,0,2
0.17,94575147126784,0,2
0.171,94575147126784,0,2
0.172,94575147126784,0,2
0.173,94575147126784,0,2
0.174,94575147126784,0,2
0.175,94575147126784,0,2
0.176,94575147126784,0,2
0.177,94575147126784,0,2
0.178,94575147126784,0,2
0.179,94575147126784,0,2
0.18,94575147126784,0,2
0.181,94575147126784,0,2
0.182,94575147126784,0,2
0.183,94575147126784,0,2
0.184,94575147126784,0,0
0.185,94575147126784,0,2
0.186,94575147126784,0,2
0.187,94575147126784,0,2
0.188,94575147126784,0,2
0.189,94575147126784,0,2
0.19,94575147126784,0,2
0.191,94575147126784,0,2
0.192,94575147126784,0,2
0.193,94575147126784,0,2
0.194,94575147126784,0,2
0.195,94575147126784,0,2
0.196,94575147126784,0,2
0.197,94575147126784,0,2
0.198,94575147126784,0,2
0.199,94575147126784,0,2
0.2,94575147126784,0,2
0.201,94575147126784,0,2
0.202,94575147126784,0,2
0.203,94575147126784,0,2
0.204,94575147126784,0,2
0.205,94575147126784,0,2
0.206,94575147126784,0,2
0.207,94575147126784,0,2
0.208,94575147126784,0,2
0.209,94575147126784,0,2
0.21,94575147126784,0,2
0.211,94575147126784,0,2
0.212,94575147126784,0,2
0.213,94575147126784,0,2
0.214,94575147126784,0,2
0.215,94575147126784,0,2
0.216,94575147126784,0,2
0.217,94575147126784,0,2
0.218,94575147126784,0,2
0.219,94575147126784,0,2
0.22,94575147126784,0,2
0.221,94575147126784,0,2
0.222,94575147126784,0,2
0.223,94575147126784,0,2
0.224,94575147126784,0,2
0.225,94575147126784,0,2
0.226,94575147126784,0,2
0.227,94575147126784,0,2
0.228,94575147126784,0,2
0.229,94575147126784,0,2
0.23,94575147126784,0,2
0.231,94575147126784,0,2
0.232,94575147126784,0,2
0.233,94575147126784,0,2
0.234,94575147126784,0,2
0.235,94575147126784,0,2
0.236,94575147126784,0,2
0.237,94575147126784,0,2
0.238,94575147126784,0,2
0.239,94575147126784,0,2
0.24,94575147126784,0,2
0.241,94575147126784,0,2
0.242,94575147126784,0,2
0.243,94575147126784,0,2
0.244,94575147126784,0,2
0.245,94575147126784,0,2
0.246,94575147126784,0,0
0.247,94575147126784,0,2
0.248,94575147126784,0,2
0.249,94575147126784,0,2
0.25,94575147126784,0,2
0.251,94575147126784,0,2
0.252,94575147126784,0,2
0.253,94575147126784,0,2
0.254,94575147126784,0,2
0.255,94575147126784,0,2
0.256,94575147126784,0,2
0.257,94575147126784,0,2
0.258,94575147126784,0,2
0.259,94575147126784,0,2
0.26,94575147126784,0,2
