time,populationID,neuronID,valueType,value
0.001,94575147126784,0,0,-68.5688
0.002,94575147126784,0,0,-67.2737
0.003,94575147126784,0,0,-66.1019
0.004,94575147126784,0,0,-65.0416
0.005,94575147126784,0,0,-64.0822
0.006,94575147126784,0,0,-63.2141
0.007,94575147126784,0,0,-62.4286
0.008,94575147126784,0,0,-61.7179
0.009,94575147126784,0,0,-61.0748
0.01,94575147126784,0,0,-60.4929
0.011,94575147126784,0,0,-59.9664
0.012,94575147126784,0,0,-59.49
0.013,94575147126784,0,0,-59.0589
0.014,94575147126784,0,0,-58.6688
0.015,94575147126784,0,0,-58.3159
0.016,94575147126784,0,0,-57.9965
0.017,94575147126784,0,0,-57.7076
0.018,94575147126784,0,0,-57.4461
0.019,94575147126784,0,0,-57.2095
0.02,94575147126784,0,0,-56.9954
0.021,94575147126784,0,0,-56.8017
0.022,94575147126784,0,0,-56.6265
0.023,94575147126784,0,0,-56.4679
0.024,94575147126784,0,0,-56.3244
0.025,94575147126784,0,0,-56.1946
0.026,94575147126784,0,0,-56.0771
0.027,94575147126784,0,0,-55.9708
0.028,94575147126784,0,0,-55.8746
0.029,94575147126784,0,0,-55.7875
0.03,94575147126784,0,0,-55.7088
0.031,94575147126784,0,0,-55.6375
0.032,94575147126784,0,0,-55.5731
0.033,94575147126784,0,0,-55.5147
0.034,94575147126784,0,0,-55.4619
0.035,94575147126784,0,0,-55.4142
0.036,94575147126784,0,0,-55.3709
0.037,94575147126784,0,0,-55.3318
0.038,94575147126784,0,0,-55.2965
0.039,94575147126784,0,0,-55.2644
0.04,94575147126784,0,0,-55.2355
0.041,94575147126784,0,0,-55.2093
0.042,94575147126784,0,0,-55.1855
0.043,94575147126784,0,0,-55.1641
0.044,94575147126784,0,0,-55.1447
0.045,94575147126784,0,0,-55.1271
0.046,94575147126784,0,0,-55.1112
0.047,94575147126784,0,0,-55.0968
0.048,94575147126784,0,0,-55.0838
0.049,94575147126784,0,0,-55.072
0.05,94575147126784,0,0,-55.0613
0.051,94575147126784,0,0,-55.0517
0.052,94575147126784,0,0,-55.043
0.053,94575147126784,0,0,-55.0351
0.054,94575147126784,0,0,-55.0279
0.055,94575147126784,0,0,-55.0215
0.056,94575147126784,0,0,-55.0156
0.057,94575147126784,0,0,-55.0103
0.058,94575147126784,0,0,-55.0055
0.059,94575147126784,0,0,-55.0012
0.06,94575147126784,0,0,-70
0.061,94575147126784,0,0,-70
0.062,94575147126784,0,0,-70
0.063,94575147126784,0,0,-68.5688
0.064,94575147126784,0,0,-67.2737
0.065,94575147126784,0,0,-66.1019
0.066,94575147126784,0,0,-65.0416
0.067,94575147126784,0,0,-64.0822
0.068,94575147126784,0,0,-63.2141
0.069,94575147126784,0,0,-62.4286
0.07,94575147126784,0,0,-61.7179
0.071,94575147126784,0,0,-61.0748
0.072,94575147126784,0,0,-60.4929
0.073,94575147126784,0,0,-59.9664
0.074,94575147126784,0,0,-59.49
0.075,94575147126784,0,0,-59.0589
0.076,94575147126784,0,0,-58.6688
0.077,94575147126784,0,0,-58.3159
0.078,94575147126784,0,0,-57.9965
0.079,94575147126784,0,0,-57.7076
0.08,94575147126784,0,0,-57.4461
0.081,94575147126784,0,0,-57.2095
0.082,94575147126784,0,0,-56.9954
0.083,94575147126784,0,0,-56.8017
0.084,94575147126784,0,0,-56.6265
0.085,94575147126784,0,0,-56.4679
0.086,94575147126784,0,0,-56.3244
0.087,94575147126784,0,0,-56.1946
0.088,94575147126784,0,0,-56.0771
0.089,94575147126784,0,0,-55.9708
0.09,94575147126784,0,0,-55.8746
0.091,94575147126784,0,0,-55.7875
0.092,94575147126784,0,0,-55.7088
0.093,94575147126784,0,0,-55.6375
0.094,94575147126784,0,0,-55.5731
0.095,94575147126784,0,0,-55.5147
0.096,94575147126784,0,0,-55.4619
0.097,94575147126784,0,0,-55.4142
0.098,94575147126784,0,0,-55.3709
0.099,94575147126784,0,0,-55.3318
0.1,94575147126784,0,0,-55.2965
0.101,94575147126784,0,0,-55.2644
0.102,94575147126784,0,0,-55.2355
0.103,94575147126784,0,0,-55.2093
0.104,94575147126784,0,0,-55.1855
0.105,94575147126784,0,0,-55.1641
0.106,94575147126784,0,0,-55.1447
0.107,94575147126784,0,0,-55.1271
0.108,94575147126784,0,0,-55.1112
0.109,94575147126784,0,0,-55.0968
0.11,94575147126784,0,0,-55.0838
0.111,94575147126784,0,0,-55.072
0.112,94575147126784,0,0,-55.0613
0.113,94575147126784,0,0,-55.0517
0.114,94575147126784,0,0,-55.043
0.115,94575147126784,0,0,-55.0351
0.116,94575147126784,0,0,-55.0279
