time,populationID,neuronID,eventType
0.001,94380434039328,0,2
0.001,94380434038688,0,2
0.001,94380434040112,0,2
0.001,94380434040848,0,2
0.001,94380434041520,0,2
0.001,94380434042256,0,2
0.001,94380434043024,0,2
0.001,94380434043712,0,2
0.001,94380434044400,0,2
0.001,94380434045232,0,2
0.001,94380434045984,0,2
0.002,94380434039328,0,2
0.002,94380434038688,0,2
0.002,94380434040112,0,2
0.002,94380434040848,0,2
0.002,94380434041520,0,2
0.002,94380434042256,0,2
0.002,94380434043024,0,2
0.002,94380434043712,0,2
0.002,94380434044400,0,2
0.002,94380434045232,0,2
0.002,94380434045984,0,2
0.003,94380434039328,0,2
0.003,94380434038688,0,2
0.003,94380434040112,0,2
0.003,94380434040848,0,2
0.003,94380434041520,0,2
0.003,94380434042256,0,2
0.003,94380434043024,0,2
0.003,94380434043712,0,2
0.003,94380434044400,0,2
0.003,94380434045232,0,2
0.003,94380434045984,0,2
0.004,94380434039328,0,2
0.004,94380434038688,0,2
0.004,94380434040112,0,2
0.004,94380434040848,0,2
0.004,94380434041520,0,2
0.004,94380434042256,0,2
0.004,94380434043024,0,2
0.004,94380434043712,0,2
0.004,94380434044400,0,2
0.004,94380434045232,0,2
0.004,94380434045984,0,2
0.005,94380434039328,0,2
0.005,94380434038688,0,2
0.005,94380434040112,0,2
0.005,94380434040848,0,2
0.005,94380434041520,0,2
0.005,94380434042256,0,2
0.005,94380434043024,0,2
0.005,94380434043712,0,2
0.005,94380434044400,0,2
0.005,94380434045232,0,2
0.005,94380434045984,0,2
0.006,94380434039328,0,2
0.006,94380434038688,0,2
0.006,94380434040112,0,2
0.006,94380434040848,0,2
0.006,94380434041520,0,2
0.006,94380434042256,0,2
0.006,94380434043024,0,2
0.006,94380434043712,0,2
0.006,94380434044400,0,2
0.006,94380434045232,0,2
0.006,94380434045984,0,2
0.007,94380434039328,0,2
0.007,94380434038688,0,2
0.007,94380434040112,0,2
0.007,94380434040848,0,2
0.007,94380434041520,0,2
0.007,94380434042256,0,2
0.007,94380434043024,0,2
0.007,94380434043712,0,2
0.007,94380434044400,0,2
0.007,94380434045232,0,2
0.007,94380434045984,0,2
0.008,94380434039328,0,2
0.008,94380434038688,0,2
0.008,94380434040112,0,2
0.008,94380434040848,0,2
0.008,94380434041520,0,2
0.008,94380434042256,0,2
0.008,94380434043024,0,2
0.008,94380434043712,0,2
0.008,94380434044400,0,2
0.008,94380434045232,0,2
0.008,94380434045984,0,2
0.009,94380434039328,0,2
0.009,94380434038688,0,2
0.009,94380434040112,0,2
0.009,94380434040848,0,2
0.009,94380434041520,0,2
0.009,94380434042256,0,2
0.009,94380434043024,0,2
0.009,94380434043712,0,2
0.009,94380434044400,0,2
0.009,94380434045232,0,2
0.009,94380434045984,0,2
0.01,94380434039328,0,2
0.01,94380434038688,0,2
0.01,94380434040112,0,2
0.01,94380434040848,0,2
0.01,94380434041520,0,2
0.01,94380434042256,0,2
0.01,94380434043024,0,2
0.01,94380434043712,0,2
0.01,94380434044400,0,2
0.01,94380434045232,0,2
0.01,94380434045984,0,2
0.011,94380434039328,0,2
0.011,94380434038688,0,2
0.011,94380434040112,0,2
0.011,94380434040848,0,2
0.011,94380434041520,0,2
0.011,94380434042256,0,2
0.011,94380434043024,0,2
0.011,94380434043712,0,2
0.011,94380434044400,0,2
0.011,94380434045232,0,2
0.011,94380434045984,0,2
0.012,94380434039328,0,2
0.012,94380434038688,0,2
0.012,94380434040112,0,2
0.012,94380434040848,0,2
0.012,94380434041520,0,2
0.012,94380434042256,0,2
0.012,94380434043024,0,2
0.012,94380434043712,0,2
0.012,94380434044400,0,2
0.012,94380434045232,0,2
0.012,94380434045984,0,2
0.013,94380434039328,0,2
0.013,94380434038688,0,2
0.013,94380434040112,0,2
0.013,94380434040848,0,2
0.013,94380434041520,0,2
0.013,94380434042256,0,2
0.013,94380434043024,0,2
0.013,94380434043712,0,2
0.013,94380434044400,0,2
0.013,94380434045232,0,2
0.013,94380434045984,0,2
0.014,94380434039328,0,2
0.014,94380434038688,0,2
0.014,94380434040112,0,2
0.014,94380434040848,0,2
0.014,94380434041520,0,2
0.014,94380434042256,0,2
0.014,94380434043024,0,2
0.014,94380434043712,0,2
0.014,94380434044400,0,2
0.014,94380434045232,0,2
0.014,94380434045984,0,2
0.015,94380434039328,0,2
0.015,94380434038688,0,2
0.015,94380434040112,0,2
0.015,94380434040848,0,2
0.015,94380434041520,0,2
0.015,94380434042256,0,2
0.015,94380434043024,0,2
0.015,94380434043712,0,2
0.015,94380434044400,0,2
0.015,94380434045232,0,2
0.015,94380434045984,0,2
0.016,94380434039328,0,2
0.016,94380434038688,0,2
0.016,94380434040112,0,2
0.016,94380434040848,0,2
0.016,94380434041520,0,2
0.016,94380434042256,0,2
0.016,94380434043024,0,2
0.016,94380434043712,0,2
0.016,94380434044400,0,2
0.016,94380434045232,0,2
0.016,94380434045984,0,2
0.017,94380434039328,0,2
0.017,94380434038688,0,2
0.017,94380434040112,0,2
0.017,94380434040848,0,2
0.017,94380434041520,0,2
0.017,94380434042256,0,2
0.017,94380434043024,0,2
0.017,94380434043712,0,2
0.017,94380434044400,0,2
0.017,94380434045232,0,2
0.017,94380434045984,0,2
0.018,94380434039328,0,2
0.018,94380434038688,0,2
0.018,94380434040112,0,2
0.018,94380434040848,0,2
0.018,94380434041520,0,2
0.018,94380434042256,0,2
0.018,94380434043024,0,2
0.018,94380434043712,0,2
0.018,94380434044400,0,2
0.018,94380434045232,0,2
0.018,94380434045984,0,2
0.019,94380434039328,0,2
0.019,94380434038688,0,2
0.019,94380434040112,0,2
0.019,94380434040848,0,2
0.019,94380434041520,0,2
0.019,94380434042256,0,2
0.019,94380434043024,0,2
0.019,94380434043712,0,2
0.019,94380434044400,0,2
0.019,94380434045232,0,2
0.019,94380434045984,0,2
0.02,94380434039328,0,2
0.02,94380434038688,0,2
0.02,94380434040112,0,2
0.02,94380434040848,0,2
0.02,94380434041520,0,2
0.02,94380434042256,0,2
0.02,94380434043024,0,2
0.02,94380434043712,0,2
0.02,94380434044400,0,2
0.02,94380434045232,0,2
0.02,94380434045984,0,2
0.021,94380434039328,0,2
0.021,94380434038688,0,2
0.021,94380434040112,0,2
0.021,94380434040848,0,2
0.021,94380434041520,0,2
0.021,94380434042256,0,2
0.021,94380434043024,0,2
0.021,94380434043712,0,2
0.021,94380434044400,0,2
0.021,94380434045232,0,2
0.021,94380434045984,0,2
0.022,94380434039328,0,2
0.022,94380434038688,0,2
0.022,94380434040112,0,2
0.022,94380434040848,0,2
0.022,94380434041520,0,2
0.022,94380434042256,0,2
0.022,94380434043024,0,2
0.022,94380434043712,0,2
0.022,94380434044400,0,2
0.022,94380434045232,0,2
0.022,94380434045984,0,2
0.023,94380434039328,0,2
0.023,94380434038688,0,2
0.023,94380434040112,0,2
0.023,94380434040848,0,2
0.023,94380434041520,0,2
0.023,94380434042256,0,2
0.023,94380434043024,0,2
0.023,94380434043712,0,2
0.023,94380434044400,0,2
0.023,94380434045232,0,2
0.023,94380434045984,0,2
0.024,94380434039328,0,2
0.024,94380434038688,0,2
0.024,94380434040112,0,2
0.024,94380434040848,0,2
0.024,94380434041520,0,2
0.024,94380434042256,0,2
0.024,94380434043024,0,2
0.024,94380434043712,0,2
0.024,94380434044400,0,2
0.024,94380434045232,0,2
0.024,94380434045984,0,2
0.025,94380434039328,0,2
0.025,94380434038688,0,2
0.025,94380434040112,0,2
0.025,94380434040848,0,2
0.025,94380434041520,0,2
0.025,94380434042256,0,2
0.025,94380434043024,0,2
0.025,94380434043712,0,2
0.025,94380434044400,0,2
0.025,94380434045232,0,2
0.025,94380434045984,0,0
0.026,94380434039328,0,2
0.026,94380434038688,0,2
0.026,94380434040112,0,2
0.026,94380434040848,0,2
0.026,94380434041520,0,2
0.026,94380434042256,0,2
0.026,94380434043024,0,2
0.026,94380434043712,0,2
0.026,94380434044400,0,2
0.026,94380434045232,0,0
0.026,94380434045984,0,2
0.027,94380434039328,0,2
0.027,94380434038688,0,2
0.027,94380434040112,0,2
0.027,94380434040848,0,2
0.027,94380434041520,0,2
0.027,94380434042256,0,2
0.027,94380434043024,0,2
0.027,94380434043712,0,2
0.027,94380434044400,0,0
0.027,94380434045232,0,2
0.027,94380434045984,0,2
0.028,94380434039328,0,2
0.028,94380434038688,0,2
0.028,94380434040112,0,2
0.028,94380434040848,0,2
0.028,94380434041520,0,2
0.028,94380434042256,0,2
0.028,94380434043024,0,2
0.028,94380434043712,0,0
0.028,94380434044400,0,2
0.028,94380434045232,0,2
0.028,94380434045984,0,2
0.029,94380434039328,0,2
0.029,94380434038688,0,2
0.029,94380434040112,0,2
0.029,94380434040848,0,2
0.029,94380434041520,0,2
0.029,94380434042256,0,2
0.029,94380434043024,0,2
0.029,94380434043712,0,2
0.029,94380434044400,0,2
0.029,94380434045232,0,2
0.029,94380434045984,0,2
0.03,94380434039328,0,2
0.03,94380434038688,0,2
0.03,94380434040112,0,2
0.03,94380434040848,0,2
0.03,94380434041520,0,2
0.03,94380434042256,0,2
0.03,94380434043024,0,0
0.03,94380434043712,0,2
0.03,94380434044400,0,2
0.03,94380434045232,0,2
0.03,94380434045984,0,2
0.031,94380434039328,0,2
0.031,94380434038688,0,2
0.031,94380434040112,0,2
0.031,94380434040848,0,2
0.031,94380434041520,0,2
0.031,94380434042256,0,2
0.031,94380434043024,0,2
0.031,94380434043712,0,2
0.031,94380434044400,0,2
0.031,94380434045232,0,2
0.031,94380434045984,0,2
0.032,94380434039328,0,2
0.032,94380434038688,0,2
0.032,94380434040112,0,2
0.032,94380434040848,0,2
0.032,94380434041520,0,2
0.032,94380434042256,0,0
0.032,94380434043024,0,2
0.032,94380434043712,0,2
0.032,94380434044400,0,2
0.032,94380434045232,0,2
0.032,94380434045984,0,2
0.033,94380434039328,0,2
0.033,94380434038688,0,0
0.033,94380434040112,0,2
0.033,94380434040848,0,2
0.033,94380434041520,0,2
0.033,94380434042256,0,2
0.033,94380434043024,0,2
0.033,94380434043712,0,2
0.033,94380434044400,0,2
0.033,94380434045232,0,2
0.033,94380434045984,0,2
0.034,94380434039328,0,2
0.034,94380434038688,0,2
0.034,94380434040112,0,2
0.034,94380434040848,0,2
0.034,94380434041520,0,0
