time,populationID,neuronID,valueType,value
0.001,94380434039328,0,0,-68.5688
0.001,94380434038688,0,0,-70
0.001,94380434040112,0,0,-68.5535
0.001,94380434040848,0,0,-68.5383
0.001,94380434041520,0,0,-68.5231
0.001,94380434042256,0,0,-68.5079
0.001,94380434043024,0,0,-68.4926
0.001,94380434043712,0,0,-68.4774
0.001,94380434044400,0,0,-68.4622
0.001,94380434045232,0,0,-68.4469
0.001,94380434045984,0,0,-68.4317
0.002,94380434039328,0,0,-67.2737
0.002,94380434038688,0,0,-70
0.002,94380434040112,0,0,-67.2447
0.002,94380434040848,0,0,-67.2157
0.002,94380434041520,0,0,-67.1867
0.002,94380434042256,0,0,-67.1577
0.002,94380434043024,0,0,-67.1287
0.002,94380434043712,0,0,-67.0997
0.002,94380434044400,0,0,-67.0707
0.002,94380434045232,0,0,-67.0417
0.002,94380434045984,0,0,-67.0127
0.003,94380434039328,0,0,-66.1019
0.003,94380434038688,0,0,-70
0.003,94380434040112,0,0,-66.0604
0.003,94380434040848,0,0,-66.019
0.003,94380434041520,0,0,-65.9775
0.003,94380434042256,0,0,-65.936
0.003,94380434043024,0,0,-65.8946
0.003,94380434043712,0,0,-65.8531
0.003,94380434044400,0,0,-65.8116
0.003,94380434045232,0,0,-65.7702
0.003,94380434045984,0,0,-65.7287
0.004,94380434039328,0,0,-65.0416
0.004,94380434038688,0,0,-70
0.004,94380434040112,0,0,-64.9889
0.004,94380434040848,0,0,-64.9361
0.004,94380434041520,0,0,-64.8834
0.004,94380434042256,0,0,-64.8306
0.004,94380434043024,0,0,-64.7779
0.004,94380434043712,0,0,-64.7251
0.004,94380434044400,0,0,-64.6724
0.004,94380434045232,0,0,-64.6196
0.004,94380434045984,0,0,-64.5669
0.005,94380434039328,0,0,-64.0822
0.005,94380434038688,0,0,-70
0.005,94380434040112,0,0,-64.0193
0.005,94380434040848,0,0,-63.9563
0.005,94380434041520,0,0,-63.8934
0.005,94380434042256,0,0,-63.8304
0.005,94380434043024,0,0,-63.7674
0.005,94380434043712,0,0,-63.7045
0.005,94380434044400,0,0,-63.6415
0.005,94380434045232,0,0,-63.5786
0.005,94380434045984,0,0,-63.5156
0.006,94380434039328,0,0,-63.2141
0.006,94380434038688,0,0,-70
0.006,94380434040112,0,0,-63.1419
0.006,94380434040848,0,0,-63.0697
0.006,94380434041520,0,0,-62.9976
0.006,94380434042256,0,0,-62.9254
0.006,94380434043024,0,0,-62.8532
0.006,94380434043712,0,0,-62.781
0.006,94380434044400,0,0,-62.7088
0.006,94380434045232,0,0,-62.6366
0.006,94380434045984,0,0,-62.5644
0.007,94380434039328,0,0,-62.4286
0.007,94380434038688,0,0,-70
0.007,94380434040112,0,0,-62.3481
0.007,94380434040848,0,0,-62.2676
0.007,94380434041520,0,0,-62.187
0.007,94380434042256,0,0,-62.1065
0.007,94380434043024,0,0,-62.0259
0.007,94380434043712,0,0,-61.9454
0.007,94380434044400,0,0,-61.8648
0.007,94380434045232,0,0,-61.7843
0.007,94380434045984,0,0,-61.7037
0.008,94380434039328,0,0,-61.7179
0.008,94380434038688,0,0,-70
0.008,94380434040112,0,0,-61.6298
0.008,94380434040848,0,0,-61.5417
0.008,94380434041520,0,0,-61.4536
0.008,94380434042256,0,0,-61.3655
0.008,94380434043024,0,0,-61.2774
0.008,94380434043712,0,0,-61.1893
0.008,94380434044400,0,0,-61.1012
0.008,94380434045232,0,0,-61.013
0.008,94380434045984,0,0,-60.9249
0.009,94380434039328,0,0,-61.0748
0.009,94380434038688,0,0,-70
0.009,94380434040112,0,0,-60.9799
0.009,94380434040848,0,0,-60.8849
0.009,94380434041520,0,0,-60.79
0.009,94380434042256,0,0,-60.695
0.009,94380434043024,0,0,-60.6001
0.009,94380434043712,0,0,-60.5051
0.009,94380434044400,0,0,-60.4102
0.009,94380434045232,0,0,-60.3152
0.009,94380434045984,0,0,-60.2203
0.01,94380434039328,0,0,-60.4929
0.01,94380434038688,0,0,-70
0.01,94380434040112,0,0,-60.3918
0.01,94380434040848,0,0,-60.2906
0.01,94380434041520,0,0,-60.1895
0.01,94380434042256,0,0,-60.0883
0.01,94380434043024,0,0,-59.9872
0.01,94380434043712,0,0,-59.8861
0.01,94380434044400,0,0,-59.7849
0.01,94380434045232,0,0,-59.6838
0.01,94380434045984,0,0,-59.5827
0.011,94380434039328,0,0,-59.9664
0.011,94380434038688,0,0,-70
0.011,94380434040112,0,0,-59.8596
0.011,94380434040848,0,0,-59.7529
0.011,94380434041520,0,0,-59.6462
0.011,94380434042256,0,0,-59.5394
0.011,94380434043024,0,0,-59.4327
0.011,94380434043712,0,0,-59.3259
0.011,94380434044400,0,0,-59.2192
0.011,94380434045232,0,0,-59.1125
0.011,94380434045984,0,0,-59.0057
0.012,94380434039328,0,0,-59.49
0.012,94380434038688,0,0,-70
0.012,94380434040112,0,0,-59.3782
0.012,94380434040848,0,0,-59.2663
0.012,94380434041520,0,0,-59.1545
0.012,94380434042256,0,0,-59.0427
0.012,94380434043024,0,0,-58.9309
0.012,94380434043712,0,0,-58.8191
0.012,94380434044400,0,0,-58.7073
0.012,94380434045232,0,0,-58.5955
0.012,94380434045984,0,0,-58.4837
0.013,94380434039328,0,0,-59.0589
0.013,94380434038688,0,0,-70
0.013,94380434040112,0,0,-58.9425
0.013,94380434040848,0,0,-58.8261
0.013,94380434041520,0,0,-58.7097
0.013,94380434042256,0,0,-58.5933
0.013,94380434043024,0,0,-58.4769
0.013,94380434043712,0,0,-58.3605
0.013,94380434044400,0,0,-58.2441
0.013,94380434045232,0,0,-58.1277
0.013,94380434045984,0,0,-58.0113
0.014,94380434039328,0,0,-58.6688
0.014,94380434038688,0,0,-70
0.014,94380434040112,0,0,-58.5483
0.014,94380434040848,0,0,-58.4277
0.014,94380434041520,0,0,-58.3072
0.014,94380434042256,0,0,-58.1866
0.014,94380434043024,0,0,-58.0661
0.014,94380434043712,0,0,-57.9456
0.014,94380434044400,0,0,-57.825
0.014,94380434045232,0,0,-57.7045
0.014,94380434045984,0,0,-57.5839
0.015,94380434039328,0,0,-58.3159
0.015,94380434038688,0,0,-70
0.015,94380434040112,0,0,-58.1916
0.015,94380434040848,0,0,-58.0673
0.015,94380434041520,0,0,-57.943
0.015,94380434042256,0,0,-57.8187
0.015,94380434043024,0,0,-57.6944
0.015,94380434043712,0,0,-57.5701
0.015,94380434044400,0,0,-57.4458
0.015,94380434045232,0,0,-57.3215
0.015,94380434045984,0,0,-57.1972
0.016,94380434039328,0,0,-57.9965
0.016,94380434038688,0,0,-70
0.016,94380434040112,0,0,-57.8688
0.016,94380434040848,0,0,-57.7411
0.016,94380434041520,0,0,-57.6134
0.016,94380434042256,0,0,-57.4857
0.016,94380434043024,0,0,-57.358
0.016,94380434043712,0,0,-57.2303
0.016,94380434044400,0,0,-57.1026
0.016,94380434045232,0,0,-56.975
0.016,94380434045984,0,0,-56.8473
0.017,94380434039328,0,0,-57.7076
0.017,94380434038688,0,0,-70
0.017,94380434040112,0,0,-57.5768
0.017,94380434040848,0,0,-57.446
0.017,94380434041520,0,0,-57.3152
0.017,94380434042256,0,0,-57.1845
0.017,94380434043024,0,0,-57.0537
0.017,94380434043712,0,0,-56.9229
0.017,94380434044400,0,0,-56.7922
0.017,94380434045232,0,0,-56.6614
0.017,94380434045984,0,0,-56.5306
0.018,94380434039328,0,0,-57.4461
0.018,94380434038688,0,0,-70
0.018,94380434040112,0,0,-57.3125
0.018,94380434040848,0,0,-57.179
0.018,94380434041520,0,0,-57.0454
0.018,94380434042256,0,0,-56.9119
0.018,94380434043024,0,0,-56.7783
0.018,94380434043712,0,0,-56.6448
0.018,94380434044400,0,0,-56.5112
0.018,94380434045232,0,0,-56.3777
0.018,94380434045984,0,0,-56.2441
0.019,94380434039328,0,0,-57.2095
0.019,94380434038688,0,0,-70
0.019,94380434040112,0,0,-57.0734
0.019,94380434040848,0,0,-56.9374
0.019,94380434041520,0,0,-56.8013
0.019,94380434042256,0,0,-56.6652
0.019,94380434043024,0,0,-56.5292
0.019,94380434043712,0,0,-56.3931
0.019,94380434044400,0,0,-56.257
0.019,94380434045232,0,0,-56.121
0.019,94380434045984,0,0,-55.9849
0.02,94380434039328,0,0,-56.9954
0.02,94380434038688,0,0,-70
0.02,94380434040112,0,0,-56.8571
0.02,94380434040848,0,0,-56.7187
0.02,94380434041520,0,0,-56.5804
0.02,94380434042256,0,0,-56.4421
0.02,94380434043024,0,0,-56.3037
0.02,94380434043712,0,0,-56.1654
0.02,94380434044400,0,0,-56.027
0.02,94380434045232,0,0,-55.8887
0.02,94380434045984,0,0,-55.7503
0.021,94380434039328,0,0,-56.8017
0.021,94380434038688,0,0,-70
0.021,94380434040112,0,0,-56.6613
0.021,94380434040848,0,0,-56.5209
0.021,94380434041520,0,0,-56.3805
0.021,94380434042256,0,0,-56.2401
0.021,94380434043024,0,0,-56.0997
0.021,94380434043712,0,0,-55.9593
0.021,94380434044400,0,0,-55.8189
0.021,94380434045232,0,0,-55.6785
0.021,94380434045984,0,0,-55.5381
0.022,94380434039328,0,0,-56.6265
0.022,94380434038688,0,0,-70
0.022,94380434040112,0,0,-56.4842
0.022,94380434040848,0,0,-56.3419
0.022,94380434041520,0,0,-56.1997
0.022,94380434042256,0,0,-56.0574
0.022,94380434043024,0,0,-55.9151
0.022,94380434043712,0,0,-55.7729
0.022,94380434044400,0,0,-55.6306
0.022,94380434045232,0,0,-55.4883
0.022,94380434045984,0,0,-55.346
0.023,94380434039328,0,0,-56.4679
0.023,94380434038688,0,0,-70
0.023,94380434040112,0,0,-56.3239
0.023,94380434040848,0,0,-56.18
0.023,94380434041520,0,0,-56.036
0.023,94380434042256,0,0,-55.8921
0.023,94380434043024,0,0,-55.7481
0.023,94380434043712,0,0,-55.6041
0.023,94380434044400,0,0,-55.4602
0.023,94380434045232,0,0,-55.3162
0.023,94380434045984,0,0,-55.1723
0.024,94380434039328,0,0,-56.3244
0.024,94380434038688,0,0,-70
0.024,94380434040112,0,0,-56.1789
0.024,94380434040848,0,0,-56.0334
0.024,94380434041520,0,0,-55.8879
0.024,94380434042256,0,0,-55.7425
0.024,94380434043024,0,0,-55.597
0.024,94380434043712,0,0,-55.4515
0.024,94380434044400,0,0,-55.306
0.024,94380434045232,0,0,-55.1605
